Conmemoracion,Fecha
día de los muertos,02/11/12
día de la Revolución,19/11/12
cambio de poder,01/12/12
día de la Virgen de Guadalupe,12/12/12
Navidad,25/12/12
año nuevo,01/01/13
aniversario de la Constitución de 1917,04/02/13
natalicio de Benito Juárez Garcia,18/03/13
jueves santo,28/03/13
viernes santo,29/03/13
día del trabajo,01/05/13
día de la madre,10/05/13
día de la Independencia,16/09/13
día de la Virgen de Zapopan,12/10/13
día de los muertos,02/11/13
día de la Revolución,18/11/13
día de la Virgen de Guadalupe,12/12/13
Navidad,25/12/13
año nuevo,01/01/14
aniversario de la Constitución de 1917,03/02/14
natalicio de Benito Juárez Garcia,17/03/14
jueves santo,17/04/14
viernes santo,18/04/14
día del trabajo,01/05/14
día de la madre,10/05/14
día de la Independencia,16/09/14
día de la Virgen de Zapopan,12/10/14
día de los muertos,02/11/14
día de la Revolución,17/11/14
día de la Virgen de Guadalupe,12/12/14
Navidad,25/12/14
año nuevo,01/01/15
aniversario de la Constitución de 1917,02/02/15
natalicio de Benito Juárez Garcia,16/03/15
jueves santo,02/04/15
viernes santo,03/04/15
día del trabajo,01/05/15
día de la madre,10/05/15
día de la Independencia,16/09/15
día de la Virgen de Zapopan,12/10/15
día de los muertos,02/11/15
día de la Revolución,16/11/15
día de la Virgen de Guadalupe,12/12/15
Navidad,25/12/15
año nuevo,01/01/16
aniversario de la Constitución de 1917,01/02/16
natalicio de Benito Juárez Garcia,21/03/16
jueves santo,24/03/16
viernes santo,25/03/16
día del trabajo,01/05/16
día de la madre,10/05/16
día de la Independencia,16/09/16
día de la Virgen de Zapopan,12/10/16
día de los muertos,02/11/16
día de la Revolución,21/11/16
día de la Virgen de Guadalupe,12/12/16
Navidad,25/12/16
año nuevo,01/01/17
aniversario de la Constitución de 1917,06/02/17
natalicio de Benito Juárez Garcia,20/03/17
jueves santo,13/04/17
viernes santo,14/04/17
día del trabajo,01/05/17
día de la madre,10/05/17
día de la Independencia,16/09/17
día de la Virgen de Zapopan,12/10/17
día de los muertos,02/11/17
día de la Revolución,20/11/17
día de la Virgen de Guadalupe,12/12/17
Navidad,25/12/17
año nuevo,01/01/18
aniversario de la Constitución de 1917,05/02/18
natalicio de Benito Juárez Garcia,19/03/18
jueves santo,29/03/18
viernes santo,30/03/18
día del trabajo,01/05/18
día de la madre,10/05/18
elecciones presidenciales,01/07/18
día de la Independencia,16/09/18
día de la Virgen de Zapopan,12/10/18
día de los muertos,02/11/18
día de la Revolución,19/11/18
cambio de poder,01/12/18
día de la Virgen de Guadalupe,12/12/18
Navidad,25/12/18
año nuevo,01/01/19
aniversario de la Constitución de 1917,05/02/19
natalicio de Benito Juárez Garcia,18/03/19
jueves santo,18/04/19
viernes santo,19/04/19
día del trabajo,01/05/19
día de la madre,10/05/19
día de la Independencia,16/05/19
día de la Virgen de Zapopan,12/10/19
día de los muertos,02/11/19
día de la Revolución,18/11/19
día de la Virgen de Guadalupe,12/12/19
Navidad,25/12/19
